Song,Artist,sentiment_category
Parachute,Kyndal Inskeep,positive
Parachute,Chris Stapleton,positive
Paradise,George Ezra,positive
Paradise,Bazzi,positive
Paradise (feat. Dermot Kennedy),MEDUZA,positive
Paralyzed,Sueco,negative
Paris,The Chainsmokers,negative
Party On Fifth Ave.,Mac Miller,negative
Pepas,Farruko,positive
The Phoenix,Fall Out Boy,positive
Photograph,Ed Sheeran,positive
Photograph,Ed Sheeran,positive
PILLOWTALK,ZAYN,positive
Pink Lady - Original Mix,Feed Me,positive
Play Something Country,Brooks & Dunn,negative
Play That Song,Train,positive
Play with Fire (feat. Yacht Money),Sam Tinnesz,positive
Pocketful of Sunshine,Natasha Bedingfield,positive
Pompeii - Remix,Bastille,positive
Popular Monster,Falling In Reverse,positive
Porch Swing Angel,Muscadine Bloodline,positive
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,positive
The Pretender,Foo Fighters,positive
Providence,Poor Man's Poison,positive
Pumped Up Kicks,Foster The People,negative
Put Your Records On,Ritt Momney,positive
Radioactive,Imagine Dragons,negative
Raised on Country,Chris Young,positive
Rap God,Eminem,positive
Rasputin,Majestic,positive
Rather Be (feat. Jess Glynne),Clean Bandit,positive
Razor Sharp,Pegboard Nerds,positive
Ready or Not,Bridgit Mendler,positive
Ready or Not,Fugees,positive
Really Don't Care,Demi Lovato,negative
The Real Slim Shady,Eminem,negative
Reasons,Luke Combs,negative
Reckless,JAXSON GAMBLE,negative
Red Flag,Billy Talent,positive
REDNECKER,HARDY,negative
Redneck Yacht Club,Craig Morgan,negative
Red Ragtop,Tim McGraw,positive
Remember the Name (feat. Styles of Beyond),Fort Minor,negative
Renegades,X Ambassadors,positive
Ride,Twenty One Pilots,positive
Ride,Chase Rice,positive
Ride the Lightning (717 Tapes),Warren Zeiders,positive
The Ringer,Eminem,positive
Riptide,Vance Joy,positive
Rise,Katy Perry,positive
RISE,I Prevail,positive
River (feat. Ed Sheeran),Eminem,positive
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,positive
Rock 'n' Roll (Will Take You to the Mountain),Skrillex,positive
ROCKSTAR (feat. Roddy Ricch),DaBaby,negative
Rollercoaster,Bleachers,negative
Roots,Imagine Dragons,positive
Roses - Imanbek Remix,SAINt JHN,positive
Ruffneck - Full Flex,Skrillex,negative
Ruff Ryders' Anthem,DMX,negative
Rum,Brothers Osborne,negative
Rum Is The Reason,Toby Keith,positive
Rumor,Lee Brice,positive
The Run and Go,Twenty One Pilots,positive
Runaway (U & I),Galantis,positive
Run Through The Jungle,Creedence Clearwater Revival,positive
A Rush of Blood,Coasts,positive
Rx (Medicate),Theory of a Deadman,positive
Sabotage,Beastie Boys,negative
The Safety Dance - Short Version,Men Without Hats,positive
Sail,AWOLNATION,positive
Same Old Love,Selena Gomez,positive
Sand In My Boots,Morgan Wallen,negative
Santeria,Sublime,negative
Satellite,Rise Against,positive
Saturday Night,Bay City Rollers,positive
Saturdays,Chevelle,positive
Save The World - Knife Party Remix,Swedish House Mafia,positive
Save Your Tears,The Weeknd,negative
Savior,Rise Against,positive
Saxofuckingfon,Samir & Viktor,negative
Say It (feat. Tove Lo),Flume,positive
Say So,Doja Cat,positive
Say You Won't Let Go,James Arthur,positive
Scars,I Prevail,positive
Scary Monsters and Nice Sprites,Skrillex,positive
Second Chance,Shinedown,positive
Senior Skip Day,Mac Miller,negative
September,"Earth, Wind & Fire",positive
Seven Bridges Road - Live; 1999 Remaster,Eagles,positive
Seven Nation Army,The White Stripes,positive
Sex,The 1975,negative
S.E.X.,Nickelback,positive
Sex & Super Smash Bros.,KYLE,negative
Shape of You,Ed Sheeran,positive
Shark In The Water,V V Brown,positive
She Got the Best of Me,Luke Combs,positive
She Keeps Me Up,Nickelback,positive
She Likes It (feat. Jake Scott),Russell Dickerson,negative
Sheriff You Want To,Luke Combs,negative
She's Out Of Her Mind,blink-182,negative
She Thinks My Tractor's Sexy,Kenny Chesney,positive
Shivers,Ed Sheeran,positive
Short Change Hero,The Heavy,positive
Short Skirt Weather,Kane Brown,negative
Shotgun,George Ezra,positive
Shots - Broiler Remix,Imagine Dragons,positive
